0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,compactness1,compactness2,sphericalDisproportion,sphericity,area,surfaceArea,surfaceVolumeRatio,volume,class
0.0,0.0,0.0,2.7995317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3185319,0.0,0.0,0.0,0.0,0.0,0.0,5.1966805,2.0832076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0735657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.232913,0.0,0.0,0.0,0.0,3.3713489,0.0,0.0,0.0,1.3800758,0.07744258122725728,0.061139559982027206,0.008562209737176257,0.020532126825188658,0.3161090935017225,0.21101456682852035,0.036672629695885514,0.035294236618775274,0
0.0,0.0,0.0,1.4830421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1878898,0.0,1.2846918,0.0,3.6300576,0.0,0.0,0.0,0.0,0.7292455,0.0,0.0,0.0,0.0,1.8162315,0.0,0.0,2.2770307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10083612,0.0,0.0,0.0,0.0,0.0,1.0946585,0.0,0.0,0.0,0.0,1.1358521,0.0,2.3060613,0.0,0.0,0.15583482336815463,0.037861298460624394,0.0022264354420691943,0.009288822859403361,0.4357359593937069,0.3471996697399202,0.01878354203935599,0.011891658002039273,0
0.0,0.0,0.0,3.8053238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1071467,0.0,4.8183513,0.0,1.6276984,0.0,4.489378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3296785,0.0,0.0,5.668346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4888113,0.0,1.5834304,0.0,0.0,0.15526088370250285,0.06966997191634863,0.003931050077403421,0.014712213630433712,0.3638594281272079,0.2995348837209303,0.023255813953488372,0.019080304606968038,0
0.0,0.0,0.0,3.9809494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2332684,0.0,0.0,0.0,0.0,0.0,0.0,4.760859,1.2529316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0900974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.677144,0.0,0.0,0.0,0.0,0.0,3.933233,0.0,0.0,0.0,0.0,3.980146,0.0,0.0,0.0,0.06948052,0.0837114016444134,0.07361763548542632,0.010671235497730082,0.03312397914108453,0.2543376936361645,0.21531166959028777,0.03577817531305904,0.04175218346235187,0
0.0,0.0,0.0,3.9561756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.82239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6863625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2571115,0.0,0.0,0.0,0.0,0.0,3.9758708,0.0,0.0,0.0,0.0,2.3451874,0.0,0.0,0.0,0.0,0.1697969242373614,0.013252575421999396,0.005287784174914335,0.029321168294474842,0.26933354923141317,0.3169895940940815,0.021466905187835422,0.024217169601401585,0
0.0,0.0,0.0,3.6370952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6331964,0.0,1.5470911,0.0,6.9992323,0.0,0.0,0.0,0.0,0.27105588,0.0,0.0,0.0,0.0,1.3639579,0.0,0.0,5.820459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09537022,0.0,0.0,0.0,0.0,0.0,2.9183114,0.0,0.0,0.0,0.0,4.8908443,0.0,3.1167495,0.0,0.0,0.10436749849268412,0.0668830470608517,0.0029308935311614,0.00622634162703867,0.5029998331264846,0.269672608142768,0.026833631484794278,0.014986095505663379,0
0.0,0.0,0.0,6.729634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.800579,0.0,3.5511081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.241968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.676604,0.2599179,2.503797,0.0,0.0,0.12726311707346166,0.033087263973036386,0.009984171435529042,0.01576191369227575,0.3536741598812863,0.17560644007155635,0.04561717352415027,0.039694583349117615,0
0.0,0.0,0.0,3.7044673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0317996,0.0,2.3478918,0.0,3.5992212,0.0,5.9057875,3.245577,0.0,0.0,0.0,0.7451348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.987186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5472926,0.0,0.0,0.0,0.0,0.0,4.1197624,0.0,0.0,0.0,0.0,2.5468593,0.0,0.6055514,0.0,0.0,0.054556298285257716,0.15490023559734245,0.005148631959785012,0.032036263661504596,0.2583926958787345,0.3314282331895192,0.020125223613595707,0.023708566257488448,0
0.0,0.0,0.0,4.6604996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98111314,0.0,6.023827,0.0,4.7807364,0.55711895,6.056905,0.0,0.0,0.0,0.0,0.59052193,0.0,0.0,0.0,0.0,5.9362173,0.0,0.0,7.7269006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21246101,0.0,0.0,0.0,0.0,0.0,1.351902,0.0,0.0,0.0,0.0,3.8357997,0.0,4.260215,0.0,0.0,0.2684691713432204,0.020946629838091223,0.002452557791654346,0.01666344157997299,0.3455715993893723,0.39737312870727803,0.01520572450805009,0.012907289257287279,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9962351,0.0,0.0,0.0,0.0,0.0,0.0,0.29578283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3046732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0831002,0.0,0.0,0.0,0.0,0.05605341244848531,0.09543500370740961,0.02567358369136039,0.03789413797515054,0.23838298920689877,0.12560022596742298,0.06618962432915922,0.07991590532687334,0
